"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.675793131E0,2.254999876E-1,2.419999987E-2,-2.637999952E-1,3.478883756E-1
1.685719694E0,1.357000023E-1,3.559999913E-2,-3.055999875E-1,3.362635914E-1
1.695646256E0,8.489999920E-2,4.820000008E-2,-1.925999969E-1,2.159305645E-1
1.705571256E0,5.309999734E-2,8.129999787E-2,-1.105999947E-1,1.471790005E-1
1.715497819E0,7.970000058E-2,7.499999553E-2,-1.946999878E-1,2.233498929E-1
1.725424381E0,1.149999946E-1,6.009999663E-2,-2.809999883E-1,3.095125228E-1
1.735349381E0,1.114000008E-1,2.539999969E-2,-2.492999882E-1,2.742364021E-1
1.745277506E0,8.700000122E-3,-1.620000042E-2,-3.400000036E-1,3.404968905E-1
1.755204069E0,-9.259999543E-2,-5.949999765E-2,-3.592999876E-1,3.757811729E-1
1.765129069E0,-1.076999977E-1,-7.009999454E-2,-3.251999915E-1,3.496688908E-1
1.775055631E0,-4.629999772E-2,-4.839999974E-2,-1.781999916E-1,1.903719695E-1
1.784982194E0,5.449999869E-2,-5.729999766E-2,-4.849999771E-2,9.276739387E-2
1.794908756E0,9.549999982E-2,-1.124999970E-1,5.689999834E-2,1.581584936E-1
1.804835319E0,9.989999980E-2,-1.216999963E-1,7.919999957E-2,1.762485149E-1
1.814760319E0,6.599999964E-2,-1.297999918E-1,2.099999972E-2,1.471225266E-1
1.824686881E0,-1.418000013E-1,-1.398999989E-1,-2.987000048E-1,3.590277746E-1
1.834613444E0,-2.513999939E-1,-1.503999978E-1,-5.295999646E-1,6.052257751E-1
1.844540006E0,-3.244999945E-1,-1.379999965E-1,-5.399999619E-1,6.449373646E-1
1.854465006E0,-3.322999775E-1,-1.517999917E-1,-4.176999927E-1,5.549232347E-1
1.864391569E0,-2.542999983E-1,-1.631999910E-1,-1.714999974E-1,3.474406068E-1
1.874318131E0,-1.379999965E-1,-1.731999964E-1,5.319999903E-2,2.277553022E-1
1.884246256E0,-1.004999951E-1,-1.819999963E-1,8.999999613E-2,2.265485532E-1
1.894172819E0,-1.959999949E-1,-1.859999895E-1,-2.699999837E-3,2.702208062E-1
1.904097819E0,-2.443999946E-1,-1.759999990E-1,-7.229999453E-2,3.097331856E-1
1.914024381E0,-3.177999854E-1,-1.339000016E-1,-2.681999803E-1,4.368721444E-1
1.923950944E0,-3.640999794E-1,-1.648000032E-1,-4.232999980E-1,5.821603940E-1
1.933877506E0,-3.519999981E-1,-1.854999959E-1,-5.394999981E-1,6.703540073E-1
1.943802506E0,-2.750000060E-1,-1.916999966E-1,-4.661999941E-1,5.742093054E-1
1.953729069E0,-2.250999957E-1,-1.827999949E-1,-4.151999950E-1,5.064354669E-1
1.963655631E0,-2.656999826E-1,-1.964999884E-1,-5.210999846E-1,6.170526073E-1
1.973582194E0,-2.970999777E-1,-2.374999970E-1,-6.103000045E-1,7.191249828E-1
1.983508756E0,-2.541999817E-1,-2.136999965E-1,-6.579999924E-1,7.370544818E-1
1.993433756E0,-5.480000004E-2,-1.603000015E-1,-5.582999587E-1,5.834363499E-1
2.003360319E0,2.809999883E-2,-1.858000010E-1,-3.495000005E-1,3.968141891E-1
2.013286881E0,9.889999777E-2,-1.820999980E-1,-2.906999886E-1,3.569987426E-1
2.023213444E0,1.070000008E-1,-1.955000013E-1,-3.491999805E-1,4.142582251E-1
2.033140006E0,1.451999992E-1,-1.640999913E-1,-2.676999867E-1,3.459409340E-1
2.043066569E0,1.055999994E-1,-1.607999951E-1,-2.168999910E-1,2.899199966E-1
2.052993131E0,6.570000201E-2,-1.171000004E-1,-2.841999829E-1,3.143223355E-1
2.062918131E0,1.295000017E-1,1.119999960E-2,-2.502999902E-1,2.820386064E-1
2.072844694E0,1.153999940E-1,8.329999447E-2,-1.666999906E-1,2.191915476E-1
2.082771256E0,4.729999974E-2,1.574999988E-1,-1.261999905E-1,2.072920095E-1
2.092697819E0,7.840000093E-2,2.483999878E-1,-4.169999808E-2,2.637953827E-1
2.102624381E0,1.004000008E-1,2.331999987E-1,1.592999995E-1,2.997313621E-1
2.112549381E0,-1.799999969E-3,2.524999976E-1,3.373999894E-1,4.214240639E-1
2.122475944E0,-1.052999943E-1,2.816999853E-1,3.377999961E-1,4.522740407E-1
2.132404069E0,-7.869999856E-2,2.698999941E-1,3.039000034E-1,4.139986820E-1
2.142329069E0,1.199999941E-3,3.068999946E-1,2.212999910E-1,3.783685144E-1
2.152255631E0,7.140000165E-2,3.140999973E-1,1.319999993E-1,3.481102819E-1
2.162182194E0,6.689999998E-2,2.581999898E-1,7.750000060E-2,2.777572588E-1
2.172108756E0,1.377999932E-1,2.518999875E-1,8.259999752E-2,2.987728257E-1
2.182035319E0,1.776999980E-1,2.856000066E-1,1.568999887E-1,3.711633865E-1
2.191960319E0,2.178999931E-1,3.003999889E-1,3.686999977E-1,5.231254616E-1
2.201886881E0,2.513999939E-1,2.753999829E-1,6.008999944E-1,7.071972220E-1
2.211813444E0,2.581999898E-1,2.431999892E-1,8.014999628E-1,8.764791269E-1
2.221740006E0,3.025999963E-1,2.795999944E-1,7.860999703E-1,8.875224380E-1
2.231666569E0,2.953999937E-1,2.809000015E-1,6.480999589E-1,7.656366787E-1
2.241593131E0,2.251999974E-1,2.742999792E-1,4.585999846E-1,5.798874575E-1
2.251519694E0,5.040000007E-2,3.109000027E-1,1.372999996E-1,3.435844315E-1
2.261444694E0,2.899999963E-3,3.409999907E-1,-1.030000020E-2,3.411678380E-1
2.271371256E0,5.189999938E-2,2.791000009E-1,-1.640000008E-2,2.843578387E-1
2.281297819E0,1.556999981E-1,2.599999905E-1,1.811999977E-1,3.530947799E-1
2.291224381E0,3.333999813E-1,2.375999987E-1,4.032999873E-1,5.746826835E-1
2.301150944E0,3.032999933E-1,1.719999909E-1,5.515999794E-1,6.525621963E-1
2.311077506E0,3.707999885E-1,2.182999998E-1,6.862999797E-1,8.100340632E-1
2.321004069E0,3.179000020E-1,2.791000009E-1,7.881000042E-1,8.944600820E-1
2.330929069E0,1.604999900E-1,2.899999917E-1,8.014000058E-1,8.672382667E-1
2.340855631E0,-1.620000042E-2,3.226999938E-1,6.559000015E-1,7.311651920E-1
2.350782194E0,-1.419999897E-1,3.173999786E-1,6.062999964E-1,6.989323495E-1
2.360708756E0,-7.440000027E-2,3.913999796E-1,5.860999823E-1,7.086906894E-1
2.370635319E0,1.169999987E-1,3.658999801E-1,5.679000020E-1,6.856254133E-1
2.380561881E0,3.039999902E-1,3.310999870E-1,5.601999760E-1,7.182389634E-1
2.390488444E0,4.619999826E-1,3.704999983E-1,6.248999834E-1,8.609379896E-1
2.400413444E0,3.858999908E-1,3.777000010E-1,5.644999743E-1,7.811762379E-1
2.410340006E0,2.138999999E-1,3.328999877E-1,4.278999865E-1,5.828155885E-1
2.420266569E0,1.708000004E-1,3.143999875E-1,2.935999930E-1,4.628400892E-1
2.430193131E0,1.042999998E-1,3.078999817E-1,2.465999871E-1,4.080348544E-1
2.440119694E0,1.481999904E-1,2.601999938E-1,2.891999781E-1,4.162978517E-1
2.450046256E0,2.988999784E-1,2.330999970E-1,3.213000000E-1,4.969008912E-1
2.459971256E0,2.538999915E-1,1.960999966E-1,2.161999941E-1,3.868628333E-1
2.469897819E0,4.910000041E-2,1.165999994E-1,-2.601000071E-1,2.892375902E-1
2.479824381E0,-2.179999948E-1,1.573999971E-1,-6.712999940E-1,7.231475913E-1
2.489750944E0,-2.551999986E-1,1.454000026E-1,-7.552999854E-1,8.103988327E-1
2.499677506E0,-2.018999904E-1,1.049999967E-1,-7.113999724E-1,7.469126631E-1
2.509604069E0,4.930000007E-2,8.569999784E-2,-5.121999979E-1,5.216548835E-1
2.519530631E0,3.055999875E-1,1.582999974E-1,-2.660000026E-1,4.349784396E-1
2.529455631E0,4.363999963E-1,2.008999884E-1,-5.097000003E-1,7.004283349E-1
2.539382194E0,4.560000002E-1,1.152999997E-1,-7.810999751E-1,9.117824638E-1
2.549308756E0,3.159999847E-1,1.777999997E-1,-7.696999907E-1,8.508271893E-1
2.559235319E0,2.469999902E-2,2.199999988E-1,-5.090999603E-1,5.551512038E-1
2.569161881E0,-3.184999824E-1,2.375999987E-1,-2.795999944E-1,4.858725708E-1
2.579088444E0,-5.996999741E-1,3.147999942E-1,-1.700000018E-1,6.983116037E-1
2.589013444E0,-5.313000083E-1,3.491999805E-1,-3.671999872E-1,7.342044373E-1
2.598940006E0,-6.979999691E-2,4.818999767E-1,-8.240999579E-1,9.572044546E-1
2.608866569E0,1.997999996E-1,4.591999948E-1,-1.071499944E0,1.182749680E0
2.618793131E0,1.383000016E-1,3.596999943E-1,-9.350999594E-1,1.011396515E0
2.628719694E0,-1.893000007E-1,6.610000134E-2,-7.347999811E-1,7.616657487E-1
2.638646256E0,-1.092999935E0,-6.277999878E-1,-6.947000027E-1,1.439232357E0
2.648572819E0,1.483999938E-1,-2.710999846E-1,-1.625999957E-1,3.492227347E-1
2.658499381E0,9.962999821E-1,-5.419999734E-2,3.648999929E-1,1.062404489E0
2.668424381E0,1.955000013E-1,-3.642999828E-1,-4.062999785E-1,5.796674913E-1
2.678350944E0,-1.004000008E-1,-4.429000020E-1,8.060000092E-2,4.612341402E-1
2.688277506E0,1.888999939E-1,-9.300000034E-3,1.552799940E0,1.564275344E0
2.698204069E0,3.010999858E-1,1.928000003E-1,1.527899981E0,1.569175386E0
2.708130631E0,5.670999885E-1,1.045999974E-1,1.548900008E0,1.652765801E0
2.718057194E0,3.619999886E-1,-5.689999834E-2,1.304700017E0,1.355184023E0
2.727982194E0,-3.680000082E-2,-2.400999963E-1,1.066699982E0,1.094006901E0
2.737908756E0,-2.478999943E-1,-3.139999807E-1,9.651999474E-1,1.044825982E0
2.747835319E0,-2.504999936E-1,-2.816999853E-1,1.020499945E0,1.087899474E0
2.757761881E0,1.559999958E-2,1.759999990E-2,1.157500029E0,1.157738933E0
2.767688444E0,2.854000032E-1,3.246999979E-1,9.858999848E-1,1.076513832E0
2.777615006E0,1.259000003E-1,2.888000011E-1,7.888000011E-1,8.493890113E-1
2.787540006E0,6.769999862E-2,2.689999938E-1,3.624999821E-1,4.564542951E-1
2.797466569E0,4.239999875E-2,3.019999862E-1,-1.179999951E-2,3.051900908E-1
2.807393131E0,-7.999999449E-3,3.021999896E-1,-3.059999943E-1,4.301451269E-1
2.817319694E0,1.652999967E-1,3.511999846E-1,-4.038999975E-1,5.601791910E-1
2.827246256E0,3.655999899E-1,3.625999987E-1,-2.865999937E-1,5.893060903E-1
2.837172819E0,5.289999843E-1,3.463000059E-1,-1.700000018E-1,6.547248873E-1
2.847099381E0,5.015999675E-1,3.009999990E-1,-1.128999963E-1,5.957767501E-1
2.857024381E0,4.229999781E-1,2.842999995E-1,-6.799999624E-3,5.097074760E-1
2.866950944E0,2.902999818E-1,2.636999786E-1,-1.052999943E-1,4.060786217E-1
2.876877506E0,1.633999944E-1,1.797999889E-1,-8.460000157E-2,2.572639781E-1
2.886804069E0,1.349999905E-1,2.075999975E-1,-1.397999972E-1,2.843708769E-1
2.896730631E0,1.074000001E-1,2.412999868E-1,-1.829999983E-1,3.213245136E-1
2.906657194E0,8.309999853E-2,2.150999904E-1,-4.018999934E-1,4.633543140E-1
2.916582194E0,1.374000013E-1,2.149999887E-1,-5.408999920E-1,5.980606632E-1
2.926508756E0,2.428999990E-1,2.114999890E-1,-4.963999987E-1,5.917310314E-1
2.936435319E0,4.738999903E-1,2.102999985E-1,-6.003000140E-1,7.932007293E-1
2.946361881E0,8.434999585E-1,2.836999893E-1,-5.597000122E-1,1.051304888E0
2.956288444E0,9.824000001E-1,2.242999971E-1,-4.328999817E-1,1.096732713E0
2.966215006E0,9.393999577E-1,1.107999980E-1,-1.317999959E-1,9.550498201E-1
2.976141569E0,6.778999567E-1,9.820000082E-2,-1.556999981E-1,7.024486322E-1
2.986066569E0,3.357999921E-1,7.729999721E-2,-4.451999962E-1,5.629742098E-1
